;;REM;Seccion;COD;Tipo Control;PROFESIONAL;Var 1;Var 2;Var 3;Var 4;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;POR EDAD;20 - 24 años;COL06;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;POR EDAD;25 - 29 años;COL07;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;POR EDAD;30 - 34 años;COL08;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;POR EDAD;35 - 39 años;COL09;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;POR EDAD;40 - 44 años;COL10;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;POR EDAD;45 - 49 años;COL11;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;POR EDAD;50 - 54 años;COL12;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;POR EDAD;55 - 59 años;COL13;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;POR EDAD;60 - 64 años;COL14;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;POR EDAD;65 - 69 años;COL15;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;POR EDAD;70 - 74 años;COL16;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;POR EDAD;75 - 79 años;COL17;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;POR EDAD;80 y más años;COL18;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;SEXO;HOMBRES;COL19;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;SEXO;MUJERES;COL20;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;Control con pareja familiar u otro;;COL21;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;Control de diada con presencia del padre;;COL22;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;Espacios Amigables/ Adolescentes;;COL23;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;Niños, Niñas, Adolescentes y Jóvenes SENAME;;COL24;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;Niños, Niñas, Adolescentes y Jóvenes Mejor Niñez;;COL25;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;Pueblos Originarios;;COL26;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010103; PRE-CONCEPCIONAL ;MATRONA/ÓN;TOTAL      ;Migrantes;;COL27;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD;Todas;COL01;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD;Menor de 4 años;COL02;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD; 5  -  9 años;COL03;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD; 10 - 14 años;COL04;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD;15 a 19 años;COL05;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD;20 - 24 años;COL06;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD;25 - 29 años;COL07;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD;30 - 34 años;COL08;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD;35 - 39 años;COL09;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD;40 - 44 años;COL10;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD;45 - 49 años;COL11;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD;50 - 54 años;COL12;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD;55 - 59 años;COL13;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD;60 - 64 años;COL14;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD;65 - 69 años;COL15;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD;70 - 74 años;COL16;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD;75 - 79 años;COL17;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;POR EDAD;80 y más años;COL18;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;SEXO;HOMBRES;COL19;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;SEXO;MUJERES;COL20;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;Control con pareja familiar u otro;;COL21;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;Control de diada con presencia del padre;;COL22;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;Espacios Amigables/ Adolescentes;;COL23;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;Niños, Niñas, Adolescentes y Jóvenes SENAME;;COL24;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;Niños, Niñas, Adolescentes y Jóvenes Mejor Niñez;;COL25;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;Pueblos Originarios;;COL26;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010201;PRENATAL;MÉDICO/A;TOTAL      ;Migrantes;;COL27;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD;Todas;COL01;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD;Menor de 4 años;COL02;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD; 5  -  9 años;COL03;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD; 10 - 14 años;COL04;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD;15 a 19 años;COL05;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD;20 - 24 años;COL06;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD;25 - 29 años;COL07;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD;30 - 34 años;COL08;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD;35 - 39 años;COL09;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD;40 - 44 años;COL10;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD;45 - 49 años;COL11;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD;50 - 54 años;COL12;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD;55 - 59 años;COL13;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD;60 - 64 años;COL14;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD;65 - 69 años;COL15;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD;70 - 74 años;COL16;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD;75 - 79 años;COL17;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;POR EDAD;80 y más años;COL18;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;SEXO;HOMBRES;COL19;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;SEXO;MUJERES;COL20;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;Control con pareja familiar u otro;;COL21;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;Control de diada con presencia del padre;;COL22;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;Espacios Amigables/ Adolescentes;;COL23;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;Niños, Niñas, Adolescentes y Jóvenes SENAME;;COL24;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;Niños, Niñas, Adolescentes y Jóvenes Mejor Niñez;;COL25;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;Pueblos Originarios;;COL26;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01010203;PRENATAL;MATRONA/ÓN;TOTAL      ;Migrantes;;COL27;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD;Todas;COL01;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD;Menor de 4 años;COL02;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD; 5  -  9 años;COL03;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD; 10 - 14 años;COL04;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD;15 a 19 años;COL05;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD;20 - 24 años;COL06;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD;25 - 29 años;COL07;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD;30 - 34 años;COL08;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD;35 - 39 años;COL09;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD;40 - 44 años;COL10;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD;45 - 49 años;COL11;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD;50 - 54 años;COL12;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD;55 - 59 años;COL13;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD;60 - 64 años;COL14;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD;65 - 69 años;COL15;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD;70 - 74 años;COL16;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD;75 - 79 años;COL17;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;POR EDAD;80 y más años;COL18;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;SEXO;HOMBRES;COL19;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;SEXO;MUJERES;COL20;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;Control con pareja familiar u otro;;COL21;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;Control de diada con presencia del padre;;COL22;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;Espacios Amigables/ Adolescentes;;COL23;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;Niños, Niñas, Adolescentes y Jóvenes SENAME;;COL24;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;Niños, Niñas, Adolescentes y Jóvenes Mejor Niñez;;COL25;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;Pueblos Originarios;;COL26;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501050;POST PARTO ;MÉDICO/A;TOTAL      ;Migrantes;;COL27;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501060;POST PARTO ;MATRONA/ÓN;TOTAL      ;POR EDAD;Todas;COL01;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501060;POST PARTO ;MATRONA/ÓN;TOTAL      ;POR EDAD;Menor de 4 años;COL02;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501060;POST PARTO ;MATRONA/ÓN;TOTAL      ;POR EDAD; 5  -  9 años;COL03;;;;
;;REM 01;SECCION A: CONTROLES DE SALUD SEXUAL Y REPRODUCTIVA;01501060;POST PARTO ;MATRONA/ÓN;TOTAL      ;POR EDAD; 10 - 14 años;COL04;;;;
